Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,3
254,19
255,18
256,18
257,26
258,15
259,19
260,19
261,26
262,21
263,20
264,17
265,13
266,18
267,18
268,18
269,24
270,12
271,11
272,25
273,18
274,26
275,24
276,21
277,16
278,17
279,18
280,14
281,14
282,16
283,12
284,13
285,18
286,17
287,13
288,12
289,17
290,18
291,14
292,23
293,16
294,15
295,23
296,16
297,21
298,23
299,15
300,16
301,12
302,17
303,16
304,21
305,16
306,28
307,20
308,21
309,27
310,17
311,14
312,26
313,15
314,17
315,15
316,19
317,12
318,18
319,14
320,21
321,17
322,15
323,16
324,21
325,17
326,20
327,27
328,16
329,19
330,14
331,24
332,15
333,25
334,22
335,19
336,17
337,18
338,24
339,21
340,15
341,17
342,23
343,19
344,26
345,19
346,18
347,17
348,9
349,18
350,17
351,25
352,18
353,24
354,20
355,18
356,12
357,25
358,13
359,21
360,20
361,17
362,20
363,17
364,14
365,18
366,10
367,19
368,18
369,24
370,22
371,15
372,15
373,12
374,11
375,17
376,14
377,16
378,17
379,14
380,15
381,19
382,13
383,3
384,9
385,20
386,11
387,11
388,11
389,12
390,15
391,9
392,14
393,11
394,13
395,11
396,14
397,13
398,9
399,11
400,6
401,10
402,7
403,16
404,11
405,13
406,13
407,10
408,14
409,9
410,15
411,12
412,14
413,8
414,9
415,11
416,14
417,11
418,9
419,6
420,9
421,9
422,8
423,8
424,7
425,11
426,6
427,14
428,3
429,10
430,7
431,10
432,9
433,12
434,3
435,10
436,9
437,12
438,3
439,7
440,16
441,10
442,5
443,14
444,5
445,7
446,9
447,3
448,7
449,9
450,10
451,10
452,3
453,6
454,7
455,8
456,7
457,7
458,7
459,8
460,3
461,11
462,10
463,3
464,7
465,9
466,9
467,12
468,8
469,8
470,11
471,10
472,15
473,10
474,11
475,11
476,9
477,14
478,12
479,11
480,15
481,13
482,8
483,20
484,18
485,23
486,22
487,23
488,19
489,18
490,35
491,28
492,23
493,32
494,42
495,39
496,38
497,38
498,55
499,51
500,55
501,63
502,51
503,69
504,73
505,80
506,100
507,91
508,100
509,111
510,93
511,108
512,105
513,103
514,124
515,113
516,99
517,102
518,97
519,120
520,116
521,115
522,118
523,115
524,97
525,111
526,122
527,95
528,119
529,102
530,97
531,90
