Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1100
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.0
Upper Discriminator:,772
Lower Discriminator:,256
Calibration Coefficients:Elapsed Real Time:,600.1
Elapsed Live Time:,600.0
Start Time:,February 14, 2020, 02:13:55
End Time:,February 14, 2020, 02:23:55
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,0
85,,0
86,,0
87,,0
88,,0
89,,0
90,,0
91,,0
92,,0
93,,0
94,,0
95,,0
96,,0
97,,0
98,,0
99,,0
100,,0
101,,0
102,,0
103,,0
104,,0
105,,0
106,,0
107,,0
108,,0
109,,0
110,,0
111,,0
112,,0
113,,0
114,,0
115,,0
116,,0
117,,0
118,,0
119,,0
120,,0
121,,0
122,,0
123,,0
124,,0
125,,0
126,,0
127,,0
128,,0
129,,0
130,,0
131,,0
132,,0
133,,0
134,,0
135,,0
136,,0
137,,0
138,,0
139,,0
140,,0
141,,0
142,,0
143,,0
144,,0
145,,0
146,,0
147,,0
148,,0
149,,0
150,,0
151,,0
152,,0
153,,0
154,,0
155,,0
156,,0
157,,0
158,,0
159,,0
160,,0
161,,0
162,,0
163,,0
164,,0
165,,0
166,,0
167,,0
168,,0
169,,0
170,,0
171,,0
172,,0
173,,0
174,,0
175,,0
176,,0
177,,0
178,,0
179,,0
180,,0
181,,0
182,,0
183,,0
184,,0
185,,0
186,,0
187,,0
188,,0
189,,0
190,,0
191,,0
192,,0
193,,0
194,,0
195,,0
196,,0
197,,0
198,,0
199,,0
200,,0
201,,0
202,,0
203,,0
204,,0
205,,0
206,,0
207,,0
208,,0
209,,0
210,,0
211,,0
212,,0
213,,0
214,,0
215,,0
216,,0
217,,0
218,,0
219,,0
220,,0
221,,0
222,,0
223,,0
224,,0
225,,0
226,,0
227,,0
228,,0
229,,0
230,,0
231,,0
232,,0
233,,0
234,,0
235,,0
236,,0
237,,0
238,,0
239,,0
240,,0
241,,0
242,,0
243,,0
244,,0
245,,0
246,,0
247,,0
248,,0
249,,0
250,,0
251,,0
252,,0
253,,8
254,,9
255,,11
256,,10
257,,14
258,,31
259,,17
260,,12
261,,15
262,,16
263,,17
264,,13
265,,18
266,,11
267,,15
268,,14
269,,16
270,,18
271,,15
272,,17
273,,19
274,,12
275,,15
276,,16
277,,12
278,,21
279,,10
280,,16
281,,12
282,,17
283,,15
284,,23
285,,15
286,,17
287,,18
288,,20
289,,24
290,,19
291,,16
292,,17
293,,15
294,,11
295,,11
296,,11
297,,17
298,,15
299,,13
300,,15
301,,22
302,,9
303,,16
304,,17
305,,14
306,,12
307,,11
308,,15
309,,20
310,,10
311,,18
312,,18
313,,13
314,,15
315,,16
316,,13
317,,13
318,,9
319,,9
320,,13
321,,24
322,,15
323,,14
324,,23
325,,12
326,,11
327,,11
328,,22
329,,19
330,,14
331,,23
332,,18
333,,23
334,,17
335,,17
336,,21
337,,14
338,,15
339,,22
340,,13
341,,16
342,,27
343,,20
344,,9
345,,15
346,,14
347,,25
348,,17
349,,14
350,,23
351,,17
352,,17
353,,17
354,,16
355,,12
356,,11
357,,21
358,,23
359,,16
360,,13
361,,16
362,,20
363,,22
364,,15
365,,14
366,,19
367,,19
368,,8
369,,11
370,,13
371,,21
372,,13
373,,15
374,,15
375,,17
