#Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	8
254	26
255	24
256	26
257	26
258	21
259	20
260	26
261	20
262	16
263	16
264	32
265	22
266	19
267	15
268	18
269	23
270	22
271	18
272	22
273	26
274	16
275	22
276	21
277	17
278	24
279	26
280	17
281	26
282	23
283	19
284	15
285	21
286	24
287	17
288	23
289	25
290	29
291	25
292	20
293	22
294	17
295	20
296	20
297	16
298	23
299	13
300	21
301	15
302	25
303	19
304	18
305	11
306	26
307	22
308	9
309	15
310	15
311	27
312	23
313	25
314	24
315	24
316	15
317	19
318	31
319	19
320	27
321	17
322	33
323	31
324	20
325	23
326	26
327	17
328	17
329	24
330	23
331	21
332	21
333	15
334	18
335	17
336	16
337	22
338	28
339	15
340	28
341	20
342	26
343	22
344	23
345	21
346	22
347	22
348	18
349	24
350	12
351	23
352	26
353	24
354	16
355	31
356	30
357	13
358	22
359	21
360	18
361	18
362	17
363	22
364	22
365	25
366	20
367	20
368	18
369	19
370	18
371	18
372	12
373	16
374	18
375	15
376	20
377	11
378	19
379	13
380	18
381	10
382	12
383	11
384	17
385	13
386	10
387	13
388	15
389	10
390	12
391	10
392	11
393	11
394	12
395	10
396	18
397	13
398	14
399	12
400	7
401	9
402	16
403	4
404	11
405	17
406	10
407	9
408	13
409	7
410	6
411	16
412	10
413	17
414	15
415	9
416	14
417	13
418	7
419	12
420	13
421	9
422	6
423	10
424	12
425	8
426	15
427	5
428	9
429	6
430	13
431	9
432	7
433	4
434	9
435	6
436	8
437	3
438	6
439	15
440	8
441	7
442	9
443	15
444	8
445	5
446	13
447	8
448	15
449	11
450	4
451	7
452	9
453	10
454	8
455	8
456	6
457	10
458	7
459	11
460	7
461	6
462	6
463	7
464	5
465	6
466	11
467	7
468	5
469	9
470	11
471	10
472	15
473	7
474	17
475	13
476	14
477	13
478	9
479	9
480	11
481	15
482	16
483	22
484	20
485	24
486	18
487	30
488	28
489	32
490	29
491	50
492	37
493	44
494	37
495	44
496	49
497	45
498	61
499	44
500	60
501	78
502	76
503	81
504	73
505	77
506	97
507	105
508	90
509	100
510	112
511	130
512	127
513	116
514	120
515	124
516	138
517	140
518	126
519	151
520	127
521	123
522	133
523	112
524	148
525	118
526	127
527	124
528	122
529	120
530	109
531	92
