Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,6
7,124
8,52
9,17
10,17
11,17
12,18
13,13
14,17
15,13
16,19
17,22
18,21
19,22
20,27
21,20
22,22
23,18
24,23
25,24
26,23
27,15
28,24
29,16
30,11
31,5
32,5
33,5
34,6
35,6
36,4
37,7
38,7
39,5
40,5
41,10
42,10
43,4
44,10
45,10
46,7
47,14
48,6
49,6
50,7
51,7
52,5
53,10
54,11
55,6
56,12
57,13
58,10
59,15
60,11
61,15
62,19
63,11
64,12
65,6
66,11
67,8
68,7
69,8
70,8
71,11
72,18
73,8
74,8
75,7
76,4
77,7
78,9
79,12
80,6
81,9
82,14
83,11
84,13
85,13
86,13
87,9
88,15
89,8
90,13
91,12
92,15
93,18
94,11
95,11
96,11
97,14
98,15
99,9
100,8
101,13
102,9
103,10
104,11
105,16
106,7
107,5
108,17
109,15
110,18
111,9
112,10
113,11
114,14
115,12
116,15
117,15
118,14
119,16
120,19
121,30
122,19
123,14
124,9
125,12
126,21
127,16
128,20
129,6
130,11
131,11
132,14
133,11
134,16
135,13
136,11
137,14
138,12
139,7
140,19
141,12
142,22
143,18
144,9
145,24
146,16
147,17
148,15
149,16
150,16
151,13
152,16
153,13
154,9
155,20
156,11
157,18
158,15
159,18
160,19
161,25
162,19
163,20
164,16
165,18
166,15
167,12
168,23
169,22
170,16
171,13
172,13
173,20
174,15
175,14
176,13
177,13
178,19
179,13
180,20
181,17
182,14
183,17
184,19
185,20
186,13
187,18
188,9
189,12
190,13
191,16
192,13
193,14
194,11
195,18
196,18
197,14
198,17
199,22
200,15
201,23
202,14
203,10
204,13
205,17
206,17
207,18
208,20
209,11
210,9
211,16
212,14
213,11
214,14
215,18
216,13
217,14
218,13
219,18
220,8
221,18
222,13
223,22
224,21
225,17
226,10
227,19
228,13
229,10
230,23
231,18
232,22
233,16
234,16
235,16
236,19
237,16
238,15
239,16
240,21
241,18
242,13
243,18
244,16
245,12
246,20
247,13
248,14
249,12
250,16
251,13
252,14
253,16
254,17
255,9
256,23
257,14
258,17
259,8
260,12
261,18
262,12
263,19
264,23
265,17
266,14
267,19
268,13
269,19
270,13
271,15
272,14
273,18
274,17
275,12
276,19
277,15
278,9
279,12
280,21
281,15
282,19
283,20
284,13
285,18
286,10
287,16
288,22
289,14
290,15
291,26
292,12
293,24
294,13
295,23
296,17
297,14
298,12
299,9
300,17
301,15
302,16
303,8
304,18
305,15
306,18
307,22
308,12
309,6
310,19
311,14
312,16
313,10
314,18
315,12
316,13
317,16
318,17
319,20
320,12
321,9
322,10
323,12
324,16
325,20
326,20
327,16
328,13
329,7
330,10
331,22
332,13
333,16
334,21
335,15
336,18
337,17
338,15
339,14
340,18
341,18
342,20
343,10
344,18
345,17
346,17
347,15
348,13
349,9
350,12
351,5
352,15
353,16
354,18
355,8
356,12
357,9
358,21
359,15
360,14
361,13
362,17
363,22
364,10
365,11
366,11
367,13
368,9
369,4
370,10
371,15
372,11
373,10
374,15
375,14
376,17
377,11
378,12
379,11
380,14
381,12
382,9
383,13
384,13
385,16
386,17
387,13
388,13
389,5
390,10
391,11
392,16
393,11
394,11
395,7
396,11
397,16
398,12
399,7
400,11
401,17
402,11
403,9
404,11
405,9
406,13
407,7
408,14
409,6
410,7
411,12
412,9
413,11
414,9
415,11
416,5
417,7
418,6
419,7
420,9
421,10
422,6
423,9
424,14
425,9
426,14
427,8
428,12
429,7
430,6
431,8
432,8
433,9
434,6
435,10
436,6
437,3
438,10
439,10
440,5
441,8
442,9
443,6
444,8
445,2
446,8
447,3
448,8
449,5
450,6
451,8
452,11
453,11
454,11
455,10
456,8
457,6
458,11
459,9
460,8
461,8
462,9
463,8
464,10
465,10
466,9
467,8
468,13
469,11
470,10
471,18
472,20
473,14
474,19
475,23
476,26
477,25
478,31
479,28
480,43
481,27
482,23
483,34
484,53
485,47
486,47
487,57
488,39
489,61
490,60
491,70
492,56
493,80
494,51
495,72
496,85
497,72
498,72
499,80
500,90
501,92
502,81
503,84
504,77
505,82
506,86
507,82
508,80
509,73
510,82
511,86
512,76
513,76
514,54
515,50
516,54
517,63
518,50
519,52
520,55
521,53
522,31
523,49
524,35
525,37
526,20
527,27
528,27
529,22
530,22
531,18
