Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1100
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.0
Upper Discriminator:,911
Lower Discriminator:,125
Calibration Coefficients:Elapsed Real Time:,600.0
Elapsed Live Time:,599.86
Start Time:,February 11, 2020, 01:21:38
End Time:,February 11, 2020, 01:31:38
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,0
85,,0
86,,0
87,,0
88,,0
89,,0
90,,0
91,,0
92,,0
93,,0
94,,0
95,,0
96,,0
97,,0
98,,0
99,,0
100,,0
101,,0
102,,0
103,,0
104,,0
105,,0
106,,0
107,,0
108,,0
109,,0
110,,0
111,,0
112,,0
113,,0
114,,0
115,,0
116,,0
117,,0
118,,0
119,,0
120,,0
121,,9
122,,16
123,,18
124,,22
125,,18
126,,16
127,,16
128,,18
129,,18
130,,23
131,,19
132,,21
133,,19
134,,11
135,,17
136,,16
137,,16
138,,14
139,,14
140,,15
141,,16
142,,10
143,,18
144,,13
145,,19
146,,15
147,,18
148,,18
149,,18
150,,17
151,,13
152,,23
153,,18
154,,22
155,,18
156,,16
157,,16
158,,13
159,,18
160,,24
161,,23
162,,21
163,,16
164,,23
165,,15
166,,19
167,,19
168,,30
169,,26
170,,19
171,,14
172,,27
173,,22
174,,18
175,,17
176,,26
177,,18
178,,15
179,,26
180,,18
181,,27
182,,22
183,,24
184,,16
185,,17
186,,22
187,,26
188,,20
189,,15
190,,18
191,,17
192,,22
193,,21
194,,18
195,,22
196,,17
197,,15
198,,21
199,,17
200,,6
201,,20
202,,13
203,,22
204,,29
205,,20
206,,12
207,,22
208,,14
209,,13
210,,26
211,,17
212,,20
213,,20
214,,27
215,,17
216,,12
217,,18
218,,19
219,,21
220,,22
221,,20
222,,12
223,,19
224,,13
225,,26
226,,14
227,,25
228,,23
229,,12
230,,13
231,,11
232,,18
233,,19
234,,21
235,,26
236,,18
237,,21
238,,14
239,,19
240,,17
241,,24
242,,18
243,,11
244,,26
245,,18
246,,15
247,,27
248,,24
249,,13
250,,24
251,,25
252,,18
253,,15
254,,15
255,,23
256,,19
257,,23
258,,18
259,,14
260,,11
261,,12
262,,21
263,,28
264,,23
265,,18
266,,21
267,,18
268,,21
269,,24
270,,18
271,,14
272,,28
273,,16
274,,19
275,,19
276,,17
277,,11
278,,20
279,,16
280,,20
281,,24
282,,10
283,,20
284,,19
285,,16
286,,21
287,,14
288,,12
289,,14
290,,20
291,,18
292,,20
293,,15
294,,15
295,,21
296,,17
297,,20
298,,21
299,,17
300,,24
301,,19
302,,19
303,,20
304,,15
305,,16
306,,19
307,,20
308,,16
309,,22
310,,21
311,,15
312,,18
313,,25
314,,19
315,,18
316,,18
317,,19
318,,24
319,,18
320,,24
321,,25
322,,10
323,,19
324,,13
325,,17
326,,25
327,,20
328,,22
329,,18
330,,26
331,,17
332,,15
333,,21
334,,17
335,,25
336,,20
337,,22
338,,11
339,,22
340,,13
341,,17
342,,20
343,,17
344,,16
345,,24
346,,26
347,,14
348,,20
349,,20
350,,11
351,,18
352,,15
353,,19
354,,18
355,,22
356,,17
357,,21
358,,16
359,,15
360,,16
361,,28
362,,7
363,,14
364,,12
365,,17
366,,13
367,,13
368,,16
369,,15
370,,17
371,,16
372,,14
373,,17
374,,7
375,,12
