#Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	8
122	5
123	12
124	10
125	7
126	13
127	15
128	7
129	8
130	10
131	11
132	16
133	9
134	14
135	19
136	15
137	11
138	11
139	6
140	9
141	11
142	8
143	11
144	17
145	8
146	8
147	13
148	18
149	8
150	19
151	12
152	16
153	16
154	8
155	10
156	16
157	12
158	9
159	12
160	18
161	9
162	17
163	17
164	8
165	12
166	9
167	14
168	18
169	14
170	14
171	13
172	8
173	12
174	20
175	11
176	13
177	13
178	10
179	15
180	18
181	14
182	17
183	16
184	13
185	16
186	12
187	15
188	13
189	14
190	8
191	14
192	11
193	15
194	14
195	13
196	12
197	13
198	15
199	7
200	17
201	20
202	12
203	7
204	12
205	15
206	18
207	10
208	13
209	18
210	18
211	19
212	11
213	17
214	20
215	17
216	11
217	16
218	14
219	14
220	19
221	16
222	12
223	12
224	8
225	13
226	18
227	14
228	11
229	10
230	15
231	19
232	13
233	8
234	9
235	11
236	12
237	20
238	12
239	12
240	15
241	7
242	15
243	9
244	8
245	14
246	8
247	16
248	11
249	14
250	9
251	16
252	15
253	18
254	9
255	18
256	8
257	14
258	12
259	14
260	11
261	15
262	10
263	17
264	15
265	12
266	7
267	15
268	12
269	12
270	17
271	15
272	20
273	12
274	16
275	11
276	9
277	10
278	17
279	14
280	8
281	10
282	12
283	21
284	11
285	13
286	13
287	12
288	11
289	12
290	10
291	8
292	18
293	13
294	5
295	10
296	16
297	13
298	12
299	17
300	16
301	12
302	14
303	12
304	15
305	10
306	10
307	12
308	14
309	13
310	10
311	12
312	9
313	16
314	18
315	13
316	17
317	8
318	20
319	13
320	18
321	8
322	18
323	19
324	19
325	17
326	13
327	11
328	12
329	7
330	14
331	13
332	10
333	15
334	10
335	11
336	13
337	14
338	15
339	11
340	11
341	15
342	14
343	10
344	18
345	16
346	13
347	17
348	15
349	12
350	9
351	16
352	9
353	11
354	12
355	13
356	10
357	10
358	13
359	14
360	10
361	11
362	16
363	7
364	16
365	9
366	11
367	8
368	14
369	10
370	8
371	8
372	4
373	12
374	13
375	7
376	7
377	9
378	9
379	12
380	14
381	10
382	5
383	8
384	9
385	10
386	12
387	8
388	12
389	9
390	5
391	9
392	8
393	10
394	4
395	11
396	9
397	5
398	1
399	9
400	9
401	10
402	13
403	8
404	9
405	8
406	8
407	8
408	11
409	12
410	7
411	10
412	10
413	10
414	7
415	11
416	8
417	6
418	6
419	4
420	14
421	3
422	7
423	5
424	5
425	11
426	8
427	9
428	10
429	4
430	8
431	12
432	5
433	8
434	12
435	12
436	6
437	4
438	13
439	8
440	9
441	1
442	10
443	13
444	3
445	10
446	12
447	8
448	7
449	8
450	8
451	13
452	10
453	9
454	6
455	6
456	6
457	9
458	11
459	10
460	4
461	6
462	8
463	14
464	7
465	5
466	5
467	10
468	16
469	2
470	10
471	10
472	15
473	12
474	13
475	17
476	12
477	10
478	9
479	14
480	17
481	16
482	17
483	17
484	16
485	27
486	28
487	28
488	27
489	26
490	30
491	40
492	39
493	47
494	46
495	42
496	35
497	58
498	46
499	56
500	51
501	55
502	51
503	45
504	52
505	52
506	55
507	69
508	74
509	71
510	62
511	53
512	55
513	60
514	62
515	66
516	70
517	52
518	62
519	45
520	55
521	38
522	49
523	49
524	37
525	43
526	34
527	35
528	24
529	24
530	31
531	30
