#Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	4
254	31
255	21
256	17
257	26
258	16
259	22
260	18
261	19
262	19
263	21
264	25
265	23
266	16
267	15
268	28
269	18
270	22
271	17
272	24
273	16
274	21
275	17
276	16
277	23
278	24
279	34
280	18
281	21
282	16
283	19
284	21
285	19
286	20
287	26
288	25
289	23
290	24
291	15
292	19
293	21
294	20
295	30
296	22
297	22
298	23
299	19
300	15
301	16
302	22
303	18
304	20
305	25
306	28
307	25
308	21
309	19
310	17
311	16
312	24
313	22
314	27
315	23
316	22
317	12
318	16
319	31
320	19
321	28
322	18
323	22
324	20
325	24
326	22
327	18
328	23
329	24
330	18
331	25
332	20
333	17
334	22
335	18
336	28
337	19
338	26
339	21
340	23
341	18
342	19
343	28
344	22
345	21
346	25
347	16
348	28
349	17
350	24
351	18
352	20
353	24
354	16
355	25
356	19
357	14
358	13
359	21
360	15
361	13
362	15
363	18
364	19
365	16
366	17
367	17
368	24
369	18
370	17
371	13
372	9
373	11
374	17
375	18
376	13
377	13
378	15
379	12
380	11
381	12
382	12
383	4
384	16
385	12
386	14
387	12
388	13
389	12
390	11
391	10
392	11
393	11
394	10
395	14
396	7
397	8
398	7
399	13
400	16
401	11
402	8
403	14
404	15
405	10
406	11
407	9
408	10
409	2
410	11
411	8
412	16
413	9
414	10
415	7
416	6
417	13
418	3
419	13
420	10
421	10
422	8
423	6
424	10
425	7
426	12
427	6
428	7
429	2
430	9
431	7
432	8
433	7
434	12
435	5
436	9
437	9
438	12
439	7
440	6
441	12
442	9
443	5
444	11
445	9
446	11
447	7
448	14
449	10
450	7
451	8
452	12
453	13
454	13
455	11
456	9
457	10
458	18
459	13
460	9
461	11
462	9
463	8
464	6
465	11
466	12
467	12
468	13
469	11
470	9
471	10
472	10
473	15
474	12
475	13
476	21
477	21
478	27
479	29
480	33
481	30
482	36
483	38
484	46
485	39
486	36
487	32
488	48
489	51
490	54
491	55
492	76
493	65
494	79
495	84
496	82
497	102
498	116
499	109
500	122
501	114
502	117
503	117
504	113
505	114
506	123
507	127
508	143
509	105
510	130
511	117
512	127
513	124
514	126
515	122
516	129
517	113
518	105
519	118
520	99
521	106
522	99
523	84
524	79
525	78
526	56
527	62
528	60
529	56
530	62
531	53
