Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,7
254,19
255,20
256,19
257,17
258,24
259,22
260,23
261,26
262,14
263,21
264,18
265,17
266,22
267,19
268,21
269,17
270,16
271,26
272,19
273,16
274,18
275,19
276,18
277,18
278,27
279,19
280,16
281,22
282,21
283,18
284,16
285,15
286,26
287,13
288,17
289,15
290,16
291,16
292,18
293,18
294,18
295,17
296,18
297,17
298,23
299,15
300,16
301,17
302,13
303,23
304,18
305,17
306,18
307,17
308,15
309,20
310,22
311,18
312,12
313,16
314,21
315,23
316,22
317,18
318,19
319,17
320,16
321,18
322,11
323,14
324,19
325,16
326,21
327,11
328,20
329,21
330,15
331,22
332,21
333,22
334,14
335,12
336,21
337,17
338,12
339,12
340,23
341,17
342,17
343,20
344,17
345,13
346,15
347,17
348,10
349,11
350,16
351,12
352,10
353,21
354,11
355,19
356,16
357,15
358,14
359,16
360,14
361,13
362,14
363,14
364,22
365,16
366,18
367,18
368,12
369,14
370,9
371,10
372,10
373,10
374,20
375,16
376,16
377,12
378,9
379,18
380,15
381,11
382,8
383,12
384,9
385,12
386,5
387,13
388,9
389,7
390,11
391,12
392,13
393,13
394,15
395,9
396,14
397,11
398,7
399,8
400,9
401,12
402,9
403,14
404,9
405,12
406,6
407,15
408,5
409,11
410,9
411,15
412,10
413,7
414,13
415,7
416,4
417,9
418,12
419,6
420,12
421,13
422,16
423,8
424,6
425,8
426,9
427,7
428,7
429,7
430,9
431,6
432,9
433,10
434,9
435,6
436,6
437,8
438,6
439,5
440,9
441,4
442,11
443,8
444,8
445,10
446,4
447,8
448,7
449,10
450,7
451,5
452,2
453,9
454,5
455,6
456,9
457,7
458,3
459,9
460,12
461,9
462,2
463,6
464,8
465,12
466,8
467,13
468,6
469,10
470,16
471,4
472,19
473,15
474,12
475,13
476,10
477,17
478,23
479,18
480,16
481,21
482,24
483,27
484,27
485,26
486,38
487,44
488,47
489,36
490,68
491,51
492,58
493,61
494,66
495,70
496,67
497,66
498,69
499,77
500,90
501,84
502,83
503,100
504,113
505,102
506,98
507,100
508,100
509,101
510,106
511,104
512,110
513,102
514,111
515,102
516,103
517,96
518,82
519,101
520,85
521,60
522,78
523,86
524,75
525,76
526,61
527,49
528,57
529,58
530,56
531,48
