Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,3
254,7
255,14
256,14
257,8
258,8
259,9
260,10
261,12
262,5
263,12
264,10
265,7
266,8
267,8
268,9
269,7
270,12
271,10
272,3
273,3
274,11
275,6
276,6
277,8
278,8
279,10
280,6
281,3
282,4
283,7
284,2
285,5
286,7
287,2
288,7
289,12
290,9
291,7
292,15
293,8
294,12
295,8
296,7
297,10
298,11
299,7
300,8
301,9
302,5
303,9
304,7
305,6
306,4
307,6
308,8
309,9
310,13
311,6
312,8
313,9
314,6
315,5
316,4
317,4
318,5
319,9
320,7
321,5
322,7
323,12
324,9
325,6
326,7
327,5
328,7
329,5
330,6
331,6
332,7
333,10
334,6
335,7
336,10
337,4
338,12
339,8
340,9
341,11
342,8
343,9
344,12
345,7
346,11
347,7
348,9
349,8
350,7
351,6
352,5
353,7
354,8
355,10
356,11
357,7
358,4
359,14
360,14
361,12
362,10
363,2
364,9
365,10
366,14
367,7
368,15
369,6
370,7
371,8
372,12
373,4
374,4
375,13
376,9
377,9
378,8
379,13
380,10
381,6
382,5
383,11
384,9
385,5
386,11
387,5
388,6
389,8
390,17
391,9
392,11
393,9
394,11
395,6
396,8
397,13
398,12
399,9
400,14
401,5
402,9
403,10
404,7
405,12
406,9
407,13
408,7
409,11
410,5
411,5
412,2
413,5
414,9
415,6
416,5
417,8
418,10
419,9
420,3
421,9
422,6
423,10
424,6
425,7
426,5
427,6
428,12
429,6
430,7
431,9
432,9
433,4
434,4
435,5
436,7
437,11
438,10
439,6
440,7
441,9
442,7
443,7
444,7
445,9
446,7
447,8
448,6
449,6
450,8
451,4
452,7
453,10
454,7
455,9
456,7
457,10
458,9
459,2
460,3
461,10
462,8
463,4
464,4
465,8
466,10
467,9
468,9
469,7
470,14
471,7
472,10
473,11
474,11
475,14
476,12
477,17
478,9
479,9
480,10
481,13
482,6
483,8
484,8
485,8
486,13
487,18
488,14
489,17
490,18
491,22
492,19
493,15
494,20
495,18
496,19
497,23
498,21
499,20
500,18
501,21
502,13
503,21
504,18
505,18
506,10
507,15
508,15
509,15
510,12
511,13
512,20
513,14
514,6
515,13
516,12
517,12
518,12
519,11
520,9
521,13
522,8
523,8
524,12
525,6
526,8
527,9
528,4
529,8
530,12
531,9
