#Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	5
254	9
255	9
256	9
257	12
258	14
259	19
260	10
261	13
262	12
263	15
264	12
265	16
266	10
267	9
268	11
269	15
270	10
271	9
272	10
273	15
274	15
275	10
276	16
277	10
278	10
279	11
280	16
281	9
282	9
283	8
284	11
285	6
286	8
287	11
288	12
289	13
290	11
291	12
292	19
293	13
294	11
295	11
296	13
297	5
298	10
299	9
300	12
301	13
302	11
303	8
304	13
305	10
306	7
307	8
308	11
309	5
310	14
311	12
312	7
313	16
314	7
315	8
316	11
317	11
318	21
319	6
320	15
321	9
322	10
323	15
324	11
325	7
326	9
327	5
328	11
329	13
330	10
331	12
332	7
333	7
334	8
335	7
336	8
337	13
338	8
339	9
340	7
341	9
342	12
343	9
344	11
345	8
346	12
347	11
348	6
349	8
350	13
351	11
352	11
353	7
354	8
355	12
356	6
357	13
358	14
359	10
360	9
361	14
362	6
363	11
364	11
365	6
366	5
367	9
368	4
369	5
370	5
371	9
372	13
373	8
374	7
375	9
376	4
377	6
378	6
379	8
380	8
381	11
382	4
383	13
384	10
385	10
386	6
387	8
388	8
389	5
390	7
391	5
392	9
393	8
394	11
395	9
396	11
397	11
398	7
399	9
400	9
401	6
402	9
403	7
404	9
405	11
406	11
407	7
408	6
409	6
410	9
411	2
412	13
413	7
414	3
415	6
416	3
417	12
418	8
419	9
420	10
421	9
422	7
423	7
424	9
425	7
426	9
427	8
428	6
429	11
430	2
431	7
432	6
433	6
434	8
435	5
436	9
437	4
438	6
439	8
440	8
441	8
442	7
443	5
444	6
445	4
446	1
447	12
448	5
449	11
450	6
451	8
452	9
453	10
454	7
455	8
456	10
457	4
458	6
459	10
460	9
461	6
462	4
463	10
464	8
465	8
466	8
467	6
468	21
469	12
470	14
471	16
472	7
473	12
474	18
475	12
476	11
477	24
478	26
479	22
480	26
481	24
482	24
483	27
484	22
485	30
486	29
487	31
488	33
489	36
490	39
491	35
492	43
493	31
494	55
495	37
496	43
497	43
498	30
499	44
500	41
501	38
502	46
503	43
504	40
505	48
506	45
507	38
508	31
509	47
510	46
511	39
512	25
513	37
514	22
515	32
516	21
517	23
518	28
519	30
520	21
521	34
522	24
523	21
524	18
525	13
526	15
527	12
528	11
529	11
530	15
531	14
