#Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	2
254	8
255	4
256	6
257	3
258	6
259	4
260	6
261	5
262	7
263	9
264	10
265	8
266	11
267	5
268	8
269	7
270	6
271	8
272	7
273	6
274	8
275	7
276	5
277	3
278	3
279	10
280	6
281	8
282	6
283	10
284	12
285	5
286	6
287	7
288	8
289	7
290	10
291	3
292	6
293	9
294	10
295	5
296	5
297	4
298	3
299	4
300	3
301	3
302	5
303	3
304	9
305	5
306	7
307	4
308	5
309	2
310	10
311	3
312	9
313	6
314	4
315	8
316	2
317	5
318	7
319	6
320	11
321	2
322	9
323	7
324	5
325	9
326	5
327	5
328	4
329	4
330	6
331	6
332	7
333	6
334	5
335	8
336	8
337	9
338	5
339	6
340	9
341	2
342	11
343	10
344	2
345	13
346	7
347	8
348	5
349	11
350	5
351	5
352	9
353	5
354	11
355	8
356	4
357	11
358	7
359	5
360	5
361	4
362	4
363	11
364	10
365	3
366	5
367	4
368	4
369	5
370	7
371	5
372	8
373	5
374	6
375	10
376	8
377	4
378	12
379	6
380	11
381	7
382	7
383	6
384	12
385	11
386	7
387	5
388	4
389	8
390	12
391	12
392	11
393	8
394	10
395	7
396	3
397	11
398	8
399	10
400	11
401	7
402	10
403	5
404	6
405	12
406	3
407	10
408	9
409	9
410	7
411	9
412	2
413	5
414	7
415	11
416	10
417	10
418	12
419	10
420	9
421	4
422	6
423	8
424	11
425	9
426	7
427	6
428	8
429	6
430	5
431	7
432	7
433	4
434	3
435	8
436	6
437	4
438	5
439	8
440	8
441	5
442	6
443	7
444	9
445	13
446	6
447	4
448	9
449	5
450	3
451	11
452	9
453	7
454	9
455	7
456	10
457	5
458	7
459	10
460	9
461	6
462	12
463	4
464	6
465	8
466	9
467	2
468	3
469	5
470	8
471	2
472	4
473	10
474	8
475	11
476	11
477	2
478	5
479	9
480	7
481	9
482	8
483	5
484	7
485	3
486	8
487	10
488	6
489	7
490	6
491	3
492	9
493	7
494	6
495	7
496	4
497	4
498	6
499	5
500	6
501	6
502	5
503	3
504	2
505	4
506	8
507	4
508	10
509	8
510	8
511	12
512	2
513	13
514	5
515	6
516	8
517	5
518	12
519	8
520	3
521	11
522	5
523	3
524	7
525	9
526	5
527	4
528	2
529	7
530	4
531	3
