#phi_QP	dphi	correlation_counts	sqrt(N)
25	0.5	18.9	4.347413024
25	0.5	20.9	4.57165178
25	0.5	21.9	4.679743583
25	0.5	20.9	4.57165178
25	0.5	23.9	4.888762625
25	0.5	24.9	4.98998998
25	0.5	24.9	4.98998998
25	0.5	31.9	5.648008499
25	0.5	21.9	4.679743583
25	0.5	20.9	4.57165178
20	0.5	19.9	4.460941605
20	0.5	23.9	4.888762625
20	0.5	25.9	5.08920426
20	0.5	23.9	4.888762625
20	0.5	19.9	4.460941605
20	0.5	20.9	4.57165178
20	0.5	26.9	5.186520992
20	0.5	21.9	4.679743583
20	0.5	22.9	4.785394446
20	0.5	26.9	5.186520992
15	0.5	30.9	5.558776844
15	0.5	35.9	5.991660872
15	0.5	32.9	5.73585216
15	0.5	31.9	5.648008499
15	0.5	23.9	4.888762625
15	0.5	32.9	5.73585216
15	0.5	22.9	4.785394446
15	0.5	26.9	5.186520992
15	0.5	29.9	5.468089246
15	0.5	24.9	4.98998998
10	0.5	41.9	6.473020933
10	0.5	41.9	6.473020933
10	0.5	61.9	7.867655305
10	0.5	45.9	6.774953874
10	0.5	32.9	5.73585216
10	0.5	45.9	6.774953874
10	0.5	55.9	7.476630257
10	0.5	48.9	6.992853495
10	0.5	36.9	6.074537019
5	0.5	44.9	6.700746227
5	0.5	46.9	6.848357467
5	0.5	47.9	6.920982589
5	0.5	49.9	7.063993205
5	0.5	28.9	5.375872022
5	0.5	50.9	7.134423593
5	0.5	37.9	6.156297589
5	0.5	47.9	6.920982589
5	0.5	50.9	7.134423593
5	0.5	36.9	6.074537019
0	0.5	37.9	6.156297589
0	0.5	38.9	6.236986452
0	0.5	22.9	4.785394446
0	0.5	45.9	6.774953874
0	0.5	41.9	6.473020933
0	0.5	36.9	6.074537019
0	0.5	42.9	6.549809158
0	0.5	28.9	5.375872022
0	0.5	26.9	5.186520992
0	0.5	27.9	5.282045058
30	0.5	15.9	3.987480407
30	0.5	16.9	4.110960958
30	0.5	23.9	4.888762625
30	0.5	14.9	3.860051813
30	0.5	12.9	3.591656999
30	0.5	19.9	4.460941605
30	0.5	17.9	4.23083916
30	0.5	18.9	4.347413024
30	0.5	12.9	3.591656999
30	0.5	16.9	4.110960958
35	0.5	25.9	5.08920426
35	0.5	19.9	4.460941605
35	0.5	24.9	4.98998998
35	0.5	21.9	4.679743583
35	0.5	20.9	4.57165178
35	0.5	24.9	4.98998998
35	0.5	16.9	4.110960958
35	0.5	16.9	4.110960958
35	0.5	23.9	4.888762625
35	0.5	21.9	4.679743583
40	0.5	25.9	5.08920426
40	0.5	24.9	4.98998998
40	0.5	30.9	5.558776844
40	0.5	19.9	4.460941605
